Level Edit Preset Export.  Class ID: 12304


Name	Preset ID	Health	HealthMax	Skin	ShieldStrength	ShieldStrengthMax	Shield Type	DamagePoints	DeathPoints	InfoIconTextureFilename	Encyclopedia Type	PlayerType	EncyclopediaID	NotTargetable	BullseyeOffsetZ	Radar Blip Type	Animation	DefaultHibernationEnable	AllowInnateConversations	UseCreationEffect	Orator Type	WeaponTiltRate	WeaponTiltMin	WeaponTiltMax	WeaponTurnRate	WeaponTurnMin	WeaponTurnMax	WeaponError	WeaponRounds	SightRange	SightArc	ListenerScale	IsStealthUnit	TypeName	Fire0Anim	Fire1Anim	Profile	TurnRadius	SquishVelocity	Aim2D	Type	OccupantsVisible	EngineSoundMaxPitchFactor	SightDownMuzzle	NumSeats	CanBeStolen	AllowStealthWhileEmpty	
Civ_AT_Mine	82080025	40.000000	40.000000	1	0.000000	0.000000	0	0.000000	0.000000		3	-3	0	1	0.000000	0		1	0	0	999	1.000074	-9999.999023	9999.999023	1.000074	-9999.999023	9999.999023	0.000000	0	7.500000	6.283185	1.000000	1					0.000000	5.000000	0	1	0	0.000000	0	0	0	0	
Soviet_Tesla_Coil_Vehicle	82080020	250.000000	250.000000	62	0.000000	0.000000	0	0.000000	60.000000		3	0	0	0	0.000000	3		0	0	0	999	87.266464	-1.570796	1.396263	87.266464	-8726.646484	8726.646484	0.000000	-1	230.000000	6.283185	1.000000	0				Turret	0.000000	5.000000	0	4	1	2.000000	1	1	0	0	
Civilian	82080230	100.000000	100.000000	0	0.000000	0.000000	0	0.000000	0.000000		-1	-2	0	0	0.000000	0		1	0	0	999	0.999899	-9999.999023	9999.999023	0.999899	-9999.999023	9999.999023	0.000000	-1	0.000000	0.000000	1.000000	1					10.000000	1.500000	1	0	1	2.000000	0	2	0	0	
Soviet Stationary	82080229	100.000000	100.000000	0	0.000000	0.000000	0	1.000000	0.000000	always\hud\targeting\people\i_nod_trooper.tga	3	-2	0	0	0.000000	0		1	0	0	999	1.000074	-9999.999023	9999.999023	1.000074	-9999.999023	9999.999023	0.872665	-1	0.000000	0.000000	1.000000	0				Turret	0.000000	5.000000	0	0	1	2.000000	0	2	0	0	
Allied Stationary	82080228	100.000000	100.000000	0	0.000000	0.000000	0	1.000000	0.000000	always\hud\targeting\people\i_nod_trooper.tga	3	-2	0	0	0.000000	0		1	0	0	999	1.000074	-9999.999023	9999.999023	1.000074	-9999.999023	9999.999023	0.872665	-1	0.000000	0.000000	1.000000	0				Turret	0.000000	5.000000	0	0	1	2.000000	0	2	0	0	
Vehicle_Soviet_Hind_Desert	82080226	300.000000	300.000000	60	300.000000	300.000000	60	0.000000	50.000000	always\hud\targeting\vehicles\i_apache.tga	2	0	20	0	0.000000	2		1	0	0	999	4.712389	-1.308997	0.087266	4.712389	-9999.999023	9999.999023	0.000000	999	50.000000	6.283185	1.000000	0				Hind_Gunship	20.000000	90000.000000	1	3	0	1.200000	0	1	1	0	
Vehicle_Soviet_Hind_Forest	82080211	300.000000	300.000000	60	300.000000	300.000000	60	0.000000	50.000000	always\hud\targeting\vehicles\i_apache.tga	2	0	20	0	0.000000	2		1	0	0	999	4.712389	-1.308997	0.087266	4.712389	-9999.999023	9999.999023	0.000000	999	50.000000	6.283185	1.000000	0				Hind_Gunship	20.000000	90000.000000	1	3	0	1.200000	0	1	1	0	
Vehicle_Allied_MRJ	82080222	120.000000	120.000000	49	120.000000	120.000000	27	0.000000	25.000000		2	1	33	0	0.000000	0		1	0	0	999	0.999899	0.000000	0.000000	0.999899	0.000000	0.000000	0.000000	0	0.000000	0.000000	1.000000	0				SOV_Tesla_Tank	10.000000	2.000000	1	1	0	3.000000	0	1	1	0	
Vehicle_Soviet_V2_Urban	82080217	150.000000	150.000000	48	150.000000	150.000000	26	0.000000	35.000000	always\hud\targeting\vehicles\i_light_tank.tga	2	0	32	0	1.000000	2		1	0	0	999	2.094395	-0.087266	1.047198	1.570796	0.000000	0.000000	0.000000	-1	100.000000	6.280000	1.000000	0				V2_Launcher	0.000000	5.000000	1	1	0	2.000000	0	1	1	0	
Vehicle_Soviet_V2_Snow	82080216	150.000000	150.000000	48	150.000000	150.000000	26	0.000000	35.000000	always\hud\targeting\vehicles\i_light_tank.tga	2	0	32	0	1.000000	2		1	0	0	999	2.094395	-0.087266	1.047198	1.570796	0.000000	0.000000	0.000000	-1	100.000000	6.280000	1.000000	0				V2_Launcher	0.000000	5.000000	1	1	0	2.000000	0	1	1	0	
Vehicle_Soviet_V2_Forest	82080215	150.000000	150.000000	48	150.000000	150.000000	26	0.000000	35.000000	always\hud\targeting\vehicles\i_light_tank.tga	2	0	32	0	1.000000	2		1	0	0	999	2.094395	-0.087266	1.047198	1.570796	0.000000	0.000000	0.000000	-1	100.000000	6.280000	1.000000	0				V2_Launcher	0.000000	5.000000	1	1	0	2.000000	0	1	1	0	
Vehicle_Soviet_Tesla_Tank_Snow	82080214	175.000000	175.000000	58	175.000000	175.000000	59	0.000000	55.000000	always\hud\targeting\vehicles\i_stealth_tank.tga	2	0	33	0	1.000000	2		1	0	0	999	9999.999023	-0.174533	1.570796	9999.999023	-1.570796	1.570796	0.872665	-1	100.000000	6.280000	1.000000	0				SOV_Tesla_Tank	0.000000	2.000000	1	1	0	3.000000	0	1	1	0	
Vehicle_Soviet_Tesla_Tank_Urban	82080213	175.000000	175.000000	58	175.000000	175.000000	59	0.000000	55.000000	always\hud\targeting\vehicles\i_stealth_tank.tga	2	0	33	0	1.000000	2		1	0	0	999	9999.999023	-0.174533	1.570796	9999.999023	-1.570796	1.570796	0.872665	-1	100.000000	6.280000	1.000000	0				SOV_Tesla_Tank	0.000000	2.000000	1	1	0	3.000000	0	1	1	0	
Vehicle_Soviet_Tesla_Tank_Desert	82080212	175.000000	175.000000	58	175.000000	175.000000	59	0.000000	55.000000	always\hud\targeting\vehicles\i_stealth_tank.tga	2	0	33	0	1.000000	2		1	0	0	999	9999.999023	-0.174533	1.570796	9999.999023	-1.570796	1.570796	0.872665	-1	100.000000	6.280000	1.000000	0				SOV_Tesla_Tank	0.000000	2.000000	1	1	0	3.000000	0	1	1	0	
Vehicle_Allied_Mobile_Gap	82080205	110.000000	110.000000	48	110.000000	110.000000	26	0.000000	35.000000	always\hud\targeting\people\i_nod_trooper.tga	2	1	25	0	0.000000	2		1	0	0	999	0.999899	-9999.999023	9999.999023	0.999899	-9999.999023	9999.999023	0.000000	0	0.000000	6.280000	1.000000	1				Truck	0.000000	5.000000	1	0	0	2.000000	0	1	1	0	
Vehicle_Soviet_LST	82080196	200.000000	200.000000	39	200.000000	200.000000	39	0.100000	40.000000	always\hud\targeting\vehicles\i_apc.tga	2	0	9	0	1.000000	2		1	0	0	999	3.141593	-0.523599	1.047198	3.141593	-1.047198	1.047198	0.872665	0	20.000000	6.280000	1.000000	0				Mammoth_Tank	15.000000	3.000000	1	1	0	1.400000	0	5	1	0	
Vehicle_Allied_Destroyer	82080192	400.000000	400.000000	39	400.000000	400.000000	39	0.100000	120.000000	always\hud\targeting\people\i_gdi_troop.tga	2	1	10	0	0.000000	2		1	0	0	999	1.000074	-1.007928	1.007928	3.141593	-2.356194	2.356194	0.000000	-1	0.000000	6.280000	1.000000	0				Allied_Destroyer	15.000000	5.000000	1	0	0	2.000000	0	1	1	0	
Vehicle_Allied_Demolition_Truck	82080183	110.000000	110.000000	48	35.000000	35.000000	26	0.000000	50.000000	always\hud\targeting\people\i_nod_trooper.tga	2	1	25	0	0.000000	2		1	0	0	999	0.999899	-9999.999023	9999.999023	0.999899	-9999.999023	9999.999023	0.000000	-1	0.000000	6.280000	1.000000	0				Truck	0.000000	5.000000	1	0	0	2.000000	0	1	1	0	
Vehicle_Soviet_Mine_Layer	82080181	150.000000	150.000000	49	150.000000	150.000000	27	0.000000	30.000000	always\hud\targeting\vehicles\i_apc.tga	2	0	9	0	1.000000	2		1	0	0	999	3.141593	-0.523599	1.047198	3.141593	-1.047198	1.047198	0.872665	5	20.000000	6.280000	1.000000	0				APC	15.000000	3.000000	1	1	0	1.400000	0	1	1	0	
Soviet_AP_Mine	82080180	60.000000	170.000000	37	0.000000	0.000000	37	0.000000	1.000000		2	-2	0	1	0.000000	3		1	0	0	999	1.000074	-9999.999023	9999.999023	1.000074	-9999.999023	9999.999023	0.000000	0	4.000000	6.280000	1.000000	1				Turret	0.000000	5.000000	0	1	0	0.000000	0	0	0	1	
Allied_AT_Mine	82080179	60.000000	170.000000	37	60.000000	60.000000	0	0.000000	1.000000		0	-2	0	1	0.000000	3		1	0	0	999	1.000074	-9999.999023	9999.999023	1.000074	-9999.999023	9999.999023	0.000000	0	6.500000	6.280000	1.000000	1				Turret	0.000000	5.000000	0	1	0	0.000000	0	0	0	1	
Vehicle_Allied_Mine_Layer	82080178	150.000000	150.000000	49	150.000000	150.000000	27	0.000000	30.000000	always\hud\targeting\vehicles\i_apc.tga	2	1	9	0	1.000000	2		1	0	0	999	3.141593	-0.523599	1.047198	3.141593	-1.047198	1.047198	0.872665	5	20.000000	6.280000	1.000000	0				APC	15.000000	3.000000	1	1	0	1.400000	0	1	1	0	
Flame_Tower_Destroyed	82080177	300.000000	300.000000	1	0.000000	0.000000	1	0.000000	0.000000		3	0	0	1	1.000000	3		0	0	0	999	1.570796	-0.362156	0.798488	1.570796	-9999.999023	9999.999023	0.017453	-1	100.000000	6.283185	1.000000	0				Turret	0.000000	5.000000	0	4	0	2.000000	1	0	0	0	
Soviet_Flame_Tower	82080145	190.000000	190.000000	61	0.000000	0.000000	0	0.000000	30.000000		3	0	0	0	0.000000	3		0	0	0	999	15.707964	-1.496620	1.496620	15.707964	-9999.999023	9999.999023	0.017453	-1	200.000000	6.280000	100.000000	0				Turret	0.000000	5.000000	0	4	0	2.000000	1	0	0	0	
Allied_Ore_Silo	82080095	375.000000	375.000000	63	0.000000	0.000000	0	0.300000	0.000000	always\hud\targeting\people\i_nod_trooper.tga	3	1	0	0	0.000000	3		1	0	0	999	1.000074	-9999.999023	9999.999023	1.000074	-9999.999023	9999.999023	0.872665	-1	0.000000	0.000000	1.000000	0				Turret	0.000000	5.000000	0	4	0	2.000000	0	0	0	0	
Soviet_Ore_Silo	82080085	375.000000	375.000000	63	0.000000	0.000000	0	0.300000	0.000000		3	0	0	0	0.000000	3		1	0	0	999	1.000074	-9999.999023	9999.999023	1.000074	-9999.999023	9999.999023	0.872665	-1	0.000000	0.000000	1.000000	0				Turret	0.000000	5.000000	0	4	0	2.000000	0	0	0	0	
Soviet_SAM_Site	82080079	187.500000	187.500000	63	0.000000	0.000000	38	0.000000	30.000000		3	0	0	0	0.000000	3		1	0	0	999	3.141593	-0.785398	1.570796	4.712389	-9999.999023	9999.999023	0.000000	-1	150.000000	6.283185	2.000000	0				Turret	0.000000	5.000000	0	4	0	2.000000	1	0	0	0	
Vehicle_Allied_Phase_Tank	82080082	150.000000	150.000000	49	150.000000	150.000000	27	0.000000	60.000000	always\hud\targeting\vehicles\i_apc.tga	2	1	9	0	1.000000	2		1	0	0	999	3.141593	-0.087266	0.523599	3.141593	-17453.275391	17453.275391	0.013963	-1	20.000000	6.280000	1.000000	1				APC	15.000000	3.000000	1	1	0	1.400000	0	1	1	0	
Vehicle_Soviet_Heavy_Tank	82080056	425.000000	425.000000	50	425.000000	425.000000	28	0.000000	45.000000	always\hud\targeting\vehicles\i_medium_tank.tga	2	0	15	0	1.000000	2		1	0	0	999	1.745329	-0.261799	0.785398	4.712389	-2.373648	2.373648	0.872665	-1	0.000000	6.280000	1.000000	0				Medium_Tank	0.000000	2.000000	1	1	0	2.000000	0	1	1	0	
Vehicle_Soviet_Mammoth_Tank	82080055	650.000000	650.000000	51	650.000000	650.000000	47	0.000000	75.000000	always\hud\targeting\vehicles\i_mammoth_tank.tga	2	0	14	0	2.000000	2		1	0	0	999	1.745329	-0.261799	0.785398	3.141593	-9999.999023	9999.999023	0.000000	-1	60.000000	6.280000	1.000000	0				Mammoth_Tank	15.000000	2.000000	1	1	0	2.000000	1	1	1	0	
Soviet Vehicles	82080054	100.000000	100.000000	0	0.000000	0.000000	0	0.100000	0.000000		-1	-2	0	0	0.000000	0		1	0	0	999	0.999899	-9999.999023	9999.999023	0.999899	-9999.999023	9999.999023	0.000000	-1	0.000000	0.000000	1.000000	0					10.000000	1.500000	1	0	1	2.000000	0	2	1	0	
Allied Vehicles	82080053	100.000000	100.000000	0	0.000000	0.000000	0	0.100000	0.000000		-1	-2	0	0	0.000000	0		1	0	0	999	0.999899	-9999.999023	9999.999023	0.999899	-9999.999023	9999.999023	0.000000	-1	0.000000	0.000000	1.000000	1					10.000000	1.500000	1	0	1	2.000000	0	2	1	0	
Vehicle_Allied_Mobile_Artillery	82080051	150.000000	150.000000	48	150.000000	150.000000	26	0.000000	35.000000	always\hud\targeting\vehicles\i_light_tank.tga	2	1	22	0	1.000000	2		1	0	0	999	1.047198	0.000000	1.221730	1.221730	0.000000	0.000000	0.000000	-1	100.000000	6.280000	1.000000	0				Allied_Artillery	0.000000	2.000000	1	1	0	1.700000	0	1	1	0	
Vehicle_Allied_APC	82080048	300.000000	300.000000	49	300.000000	300.000000	27	0.000000	35.000000	always\hud\targeting\vehicles\i_apc.tga	2	1	9	0	1.000000	2		1	0	0	999	12.566371	-0.349066	1.570796	6.283185	-6283.185547	6283.185547	0.872665	-1	20.000000	6.280000	1.000000	0				APC	15.000000	3.000000	1	1	0	1.400000	0	5	1	0	
Vehicle_Soviet_Transport_Helicopter	82080019	400.000000	400.000000	41	400.000000	400.000000	41	0.000000	40.000000		2	0	35	0	1.000000	2		1	0	0	999	3.141593	-9999.999023	9999.999023	3.141593	-9999.999023	9999.999023	0.872665	0	50.000000	6.280000	1.000000	0				Longbow	1.000000	90000.000000	1	3	0	1.100000	0	5	1	0	
Stationary / Pseudostructure	1488	100.000000	100.000000	0	0.000000	0.000000	0	1.000000	0.000000	always\hud\targeting\people\i_nod_trooper.tga	3	-2	0	0	0.000000	0		1	0	0	999	1.000074	-9999.999023	9999.999023	1.000074	-9999.999023	9999.999023	0.872665	-1	0.000000	0.000000	1.000000	0					0.000000	5.000000	0	0	1	2.000000	0	2	0	0	
Vehicle_Soviet_V2	82080115	150.000000	150.000000	48	150.000000	150.000000	26	0.000000	35.000000	always\hud\targeting\vehicles\i_light_tank.tga	2	0	32	0	1.000000	2		1	0	0	999	2.094395	-0.087266	1.047198	1.570796	0.000000	0.000000	0.000000	-1	100.000000	6.280000	1.000000	0				V2_Launcher	0.000000	5.000000	1	1	0	2.000000	0	1	1	0	
Vehicle_Soviet_Tesla_Tank	82080164	175.000000	175.000000	58	175.000000	175.000000	59	0.000000	55.000000	always\hud\targeting\vehicles\i_stealth_tank.tga	2	0	33	0	1.000000	2		1	0	0	999	9999.999023	-0.261799	1.570796	9999.999023	-1.570796	1.570796	0.872665	-1	100.000000	6.280000	1.000000	0				SOV_Tesla_Tank	0.000000	2.000000	1	1	0	3.000000	0	1	1	0	
